Date,PM2.5,PM10,NO2,O3
2022-01-02 23:00:00,18.79,37.55,22.91,50.61
2022-01-03 00:00:00,21.42,31.46,15.96,56.16
2022-01-03 01:00:00,18.02,24.42,24.11,42.72
2022-01-03 02:00:00,20.15,42.19,19.74,52.01
2022-01-03 03:00:00,23.47,31.22,30.3,36.45
2022-01-03 04:00:00,12.6,16.88,23.8,42.27
2022-01-03 05:00:00,21.36,32.25,29.49,14.95
2022-01-03 06:00:00,22.52,38.88,24.59,29.93
2022-01-03 07:00:00,23.58,36.18,25.07,25.65
2022-01-03 08:00:00,27.69,33.77,33.02,12.44
2022-01-03 09:00:00,39.97,73.25,32.94,25.42
2022-01-03 10:00:00,27.08,40.09,34.61,19.58
2022-01-03 11:00:00,38.88,78.37,33.77,26.28
2022-01-03 12:00:00,23.25,39.63,39.14,34.33
2022-01-03 13:00:00,31.06,59.84,39.02,35.38
2022-01-03 14:00:00,33.25,58.24,25.12,42.14
2022-01-03 15:00:00,34.52,65.75,34.51,44.83
2022-01-03 16:00:00,33.61,58.34,40.27,61.63
2022-01-03 17:00:00,32.17,53.36,29.14,52.16
2022-01-03 18:00:00,23.25,45.95,24.54,53.67
2022-01-03 19:00:00,20.5,52.69,30.86,57.01
2022-01-03 20:00:00,26.49,40.23,32.6,54.84
2022-01-03 21:00:00,18.54,36.02,26.14,44.99
2022-01-03 22:00:00,10.76,17.18,33.46,57.14
2022-01-03 23:00:00,10.82,21.36,34.98,58.35
2022-01-04 00:00:00,12.0,19.54,15.18,56.83
2022-01-04 01:00:00,20.77,15.97,22.28,48.02
2022-01-04 02:00:00,19.44,29.51,12.59,38.39
2022-01-04 03:00:00,24.0,46.4,27.51,37.7
2022-01-04 04:00:00,18.95,24.2,21.4,43.22
2022-01-04 05:00:00,24.4,46.4,23.38,28.05
2022-01-04 06:00:00,29.27,48.3,32.74,19.85
2022-01-04 07:00:00,25.73,39.64,21.81,38.77
2022-01-04 08:00:00,32.26,58.86,22.1,18.89
2022-01-04 09:00:00,27.2,48.97,20.17,16.08
2022-01-04 10:00:00,30.27,51.79,39.35,28.92
2022-01-04 11:00:00,30.95,57.65,39.43,31.85
2022-01-04 12:00:00,26.34,43.77,33.73,35.25
2022-01-04 13:00:00,36.17,44.71,29.42,41.39
2022-01-04 14:00:00,29.63,44.38,40.17,39.03
2022-01-04 15:00:00,31.25,35.56,49.57,43.0
2022-01-04 16:00:00,32.4,57.1,34.02,44.06
2022-01-04 17:00:00,30.27,55.59,28.23,51.43
2022-01-04 18:00:00,29.51,54.75,39.21,56.24
2022-01-04 19:00:00,22.85,40.48,25.89,59.93
2022-01-04 20:00:00,18.98,38.11,28.17,49.61
2022-01-04 21:00:00,19.38,18.4,15.25,47.01
2022-01-04 22:00:00,,,,
2022-01-04 23:00:00,9.11,3.25,19.37,47.43
2022-01-05 00:00:00,9.75,12.74,31.1,41.59
2022-01-05 01:00:00,11.98,32.09,19.32,32.78
2022-01-05 02:00:00,21.16,42.6,27.9,48.44
2022-01-05 03:00:00,14.6,28.65,23.68,37.77
2022-01-05 04:00:00,19.42,29.62,25.43,35.77
2022-01-05 05:00:00,31.41,42.31,28.37,32.02
2022-01-05 06:00:00,23.55,39.18,26.73,28.28
2022-01-05 07:00:00,32.18,60.38,25.21,25.37
2022-01-05 08:00:00,24.09,41.82,25.94,24.58
2022-01-05 09:00:00,30.11,35.49,34.1,19.65
2022-01-05 10:00:00,26.92,43.9,23.49,16.42
2022-01-05 11:00:00,31.38,34.9,42.63,42.87
2022-01-05 12:00:00,38.73,68.4,35.86,32.73
2022-01-05 13:00:00,23.05,31.34,34.11,33.49
2022-01-05 14:00:00,35.22,46.57,37.33,35.19
2022-01-05 15:00:00,32.77,58.98,32.82,50.18
2022-01-05 16:00:00,26.12,46.27,34.31,48.37
2022-01-05 17:00:00,19.08,32.39,28.58,45.43
2022-01-05 18:00:00,26.12,59.33,34.88,51.17
2022-01-05 19:00:00,20.44,37.78,31.16,56.36
2022-01-05 20:00:00,23.08,31.77,30.94,52.68
2022-01-05 21:00:00,20.16,36.41,35.86,59.38
2022-01-05 22:00:00,28.37,43.1,22.98,65.73
2022-01-05 23:00:00,16.52,36.57,25.11,48.07
2022-01-06 00:00:00,11.72,21.0,16.55,45.79
2022-01-06 01:00:00,19.21,33.77,26.95,38.9
2022-01-06 02:00:00,20.25,20.86,23.91,39.08
2022-01-06 03:00:00,28.36,45.86,24.29,24.36
2022-01-06 04:00:00,26.87,42.54,24.02,39.1
2022-01-06 05:00:00,25.93,33.29,22.87,21.39
2022-01-06 06:00:00,34.64,53.65,39.48,22.17
2022-01-06 07:00:00,20.8,36.76,28.64,26.01
2022-01-06 08:00:00,26.02,41.6,31.48,33.26
2022-01-06 09:00:00,25.96,30.23,25.86,20.39
2022-01-06 10:00:00,30.45,46.53,37.43,25.89
2022-01-06 11:00:00,25.33,36.78,33.63,31.15
2022-01-06 12:00:00,37.67,61.82,37.43,28.47
2022-01-06 13:00:00,32.25,52.29,40.31,35.39
2022-01-06 14:00:00,23.96,35.05,35.48,30.46
2022-01-06 15:00:00,25.42,37.07,32.41,40.72
2022-01-06 16:00:00,31.74,51.32,23.56,54.88
2022-01-06 17:00:00,32.96,60.44,32.31,55.5
2022-01-06 18:00:00,37.84,62.77,29.59,50.33
2022-01-06 19:00:00,41.27,77.42,25.84,48.41
2022-01-06 20:00:00,24.35,48.02,37.27,53.73
2022-01-06 21:00:00,14.26,34.8,33.36,45.71
2022-01-06 22:00:00,6.14,20.77,17.85,51.81
2022-01-06 23:00:00,19.74,44.08,26.53,48.15
2022-01-07 00:00:00,13.15,11.82,20.72,44.82
2022-01-07 01:00:00,15.81,30.48,26.04,43.04
2022-01-07 02:00:00,15.43,34.43,20.0,43.22
2022-01-07 03:00:00,19.53,42.44,21.51,29.89
2022-01-07 04:00:00,28.43,39.32,29.62,38.25
2022-01-07 05:00:00,24.9,45.1,29.85,36.14
2022-01-07 06:00:00,25.08,40.73,34.55,40.21
2022-01-07 07:00:00,21.89,49.8,27.36,27.29
2022-01-07 08:00:00,19.98,20.87,22.72,33.84
2022-01-07 09:00:00,,,,
2022-01-07 10:00:00,32.64,37.73,37.64,28.15
2022-01-07 11:00:00,44.37,72.14,37.38,22.09
2022-01-07 12:00:00,34.81,73.81,31.48,37.87
2022-01-07 13:00:00,39.65,63.09,30.44,37.56
2022-01-07 14:00:00,29.96,48.75,38.68,50.72
2022-01-07 15:00:00,24.58,43.73,31.36,48.32
2022-01-07 16:00:00,,,,
2022-01-07 17:00:00,23.75,40.93,48.78,47.14
2022-01-07 18:00:00,38.8,65.22,43.64,54.46
2022-01-07 19:00:00,19.03,23.69,35.52,42.95
2022-01-07 20:00:00,27.06,42.55,26.69,58.33
2022-01-07 21:00:00,14.96,29.86,24.84,61.8
2022-01-07 22:00:00,24.69,46.94,30.58,61.34
2022-01-07 23:00:00,20.61,43.37,33.24,48.48
2022-01-08 00:00:00,17.26,30.3,22.25,36.62
2022-01-08 01:00:00,18.23,32.01,21.92,40.66
2022-01-08 02:00:00,15.34,30.55,24.44,39.53
2022-01-08 03:00:00,23.22,32.4,17.26,38.57
2022-01-08 04:00:00,19.47,26.07,18.01,20.32
2022-01-08 05:00:00,16.78,25.84,19.88,28.77
2022-01-08 06:00:00,18.53,19.45,29.73,20.78
2022-01-08 07:00:00,29.31,50.15,29.81,34.19
2022-01-08 08:00:00,39.68,71.87,35.68,10.99
2022-01-08 09:00:00,32.82,46.83,22.87,31.59
2022-01-08 10:00:00,32.42,55.35,25.42,26.05
2022-01-08 11:00:00,35.64,52.0,36.52,17.11
2022-01-08 12:00:00,42.04,59.13,30.84,42.56
2022-01-08 13:00:00,35.24,72.84,31.8,44.22
2022-01-08 14:00:00,30.66,41.04,41.06,47.5
2022-01-08 15:00:00,38.5,51.36,33.03,44.44
2022-01-08 16:00:00,32.77,54.16,33.02,43.47
2022-01-08 17:00:00,37.49,62.13,32.99,51.0
2022-01-08 18:00:00,27.3,49.02,32.05,56.27
2022-01-08 19:00:00,16.78,42.86,34.98,51.23
2022-01-08 20:00:00,13.99,16.17,23.95,49.85
2022-01-08 21:00:00,30.45,44.09,27.51,57.45
2022-01-08 22:00:00,29.62,60.25,32.81,54.16
2022-01-08 23:00:00,17.4,35.35,36.42,56.16
2022-01-09 00:00:00,16.07,32.12,18.02,56.64
2022-01-09 01:00:00,27.41,39.14,25.86,49.02
2022-01-09 02:00:00,12.8,29.49,23.05,33.09
2022-01-09 03:00:00,15.35,30.98,23.71,36.04
2022-01-09 04:00:00,26.23,43.49,20.86,34.82
2022-01-09 05:00:00,21.93,30.41,29.54,34.25
2022-01-09 06:00:00,26.34,43.0,30.52,32.16
2022-01-09 07:00:00,27.46,57.13,41.06,25.16
2022-01-09 08:00:00,32.4,43.08,23.39,22.06
2022-01-09 09:00:00,40.47,58.36,22.81,31.56
2022-01-09 10:00:00,33.84,49.13,43.27,29.28
2022-01-09 11:00:00,37.96,57.45,33.98,31.08
2022-01-09 12:00:00,22.07,35.19,32.91,28.27
2022-01-09 13:00:00,33.81,61.76,36.74,48.72
2022-01-09 14:00:00,28.24,48.88,29.03,41.49
2022-01-09 15:00:00,24.72,40.03,37.67,43.36
2022-01-09 16:00:00,25.1,42.38,34.79,48.99
2022-01-09 17:00:00,26.44,47.29,39.61,49.82
2022-01-09 18:00:00,31.87,37.53,37.29,45.26
2022-01-09 19:00:00,16.34,34.72,36.25,56.28
2022-01-09 20:00:00,22.56,29.48,30.95,46.29
2022-01-09 21:00:00,17.81,24.95,36.47,55.11
2022-01-09 22:00:00,17.48,30.69,29.88,43.43
2022-01-09 23:00:00,24.66,38.85,23.09,37.68
2022-01-10 00:00:00,21.77,38.73,20.76,51.18
2022-01-10 01:00:00,26.84,44.08,20.72,37.26
2022-01-10 02:00:00,18.69,27.58,26.94,42.61
2022-01-10 03:00:00,16.71,38.97,17.55,37.13
2022-01-10 04:00:00,21.2,39.58,25.58,33.38
2022-01-10 05:00:00,25.93,43.9,21.59,25.63
2022-01-10 06:00:00,27.6,49.7,20.73,26.22
2022-01-10 07:00:00,22.11,29.73,22.99,21.57
2022-01-10 08:00:00,31.08,67.13,29.88,30.67
2022-01-10 09:00:00,33.57,45.01,35.37,22.61
2022-01-10 10:00:00,48.58,78.63,29.62,25.52
2022-01-10 11:00:00,45.53,70.56,23.86,33.86
2022-01-10 12:00:00,29.42,44.48,50.97,28.77
2022-01-10 13:00:00,32.55,48.44,41.38,25.37
2022-01-10 14:00:00,24.69,33.33,40.66,33.63
2022-01-10 15:00:00,28.65,55.35,43.93,50.22
2022-01-10 16:00:00,32.44,42.26,35.66,48.0
2022-01-10 17:00:00,35.85,65.22,33.57,52.36
2022-01-10 18:00:00,22.17,40.66,39.78,54.76
2022-01-10 19:00:00,20.55,29.83,38.3,65.22
2022-01-10 20:00:00,9.66,19.71,33.08,42.55
2022-01-10 21:00:00,19.91,30.59,32.86,53.72
2022-01-10 22:00:00,13.24,12.37,20.81,53.17
2022-01-10 23:00:00,15.64,16.3,24.47,50.48
2022-01-11 00:00:00,13.45,26.76,33.32,52.3
2022-01-11 01:00:00,18.42,34.3,28.23,48.83
2022-01-11 02:00:00,9.24,16.72,16.69,38.7
2022-01-11 03:00:00,12.25,16.47,21.55,25.98
2022-01-11 04:00:00,35.49,55.26,32.51,47.55
2022-01-11 05:00:00,16.92,24.46,28.03,29.36
2022-01-11 06:00:00,20.13,18.23,27.91,27.53
2022-01-11 07:00:00,39.8,64.18,29.51,33.08
2022-01-11 08:00:00,48.14,81.21,29.58,22.64
2022-01-11 09:00:00,25.34,41.08,28.93,33.26
2022-01-11 10:00:00,31.43,64.44,28.83,25.17
2022-01-11 11:00:00,36.49,50.35,39.29,40.37
2022-01-11 12:00:00,45.08,66.85,36.38,35.23
2022-01-11 13:00:00,28.52,46.69,39.33,32.06
2022-01-11 14:00:00,,,,
2022-01-11 15:00:00,37.03,44.04,42.84,47.5
2022-01-11 16:00:00,33.32,58.13,37.47,43.85
2022-01-11 17:00:00,26.53,44.43,38.36,42.16
2022-01-11 18:00:00,25.91,24.5,33.84,57.18
2022-01-11 19:00:00,16.39,25.29,26.82,62.79
2022-01-11 20:00:00,21.28,27.58,28.87,57.32
2022-01-11 21:00:00,19.46,27.5,31.4,56.47
2022-01-11 22:00:00,21.18,23.18,30.39,62.34
2022-01-11 23:00:00,15.65,28.37,33.01,54.2
2022-01-12 00:00:00,21.71,48.83,22.5,43.55
2022-01-12 01:00:00,25.23,42.49,25.33,40.19
2022-01-12 02:00:00,20.89,16.14,23.35,43.33
2022-01-12 03:00:00,23.33,39.62,32.33,39.13
2022-01-12 04:00:00,23.2,35.56,26.69,39.03
2022-01-12 05:00:00,24.81,30.89,27.74,31.61
2022-01-12 06:00:00,22.55,38.91,26.82,31.09
2022-01-12 07:00:00,30.85,56.4,27.32,27.6
2022-01-12 08:00:00,30.3,43.13,22.76,30.79
2022-01-12 09:00:00,45.1,59.01,25.25,29.99
2022-01-12 10:00:00,43.25,53.11,33.89,25.46
2022-01-12 11:00:00,36.92,53.75,34.51,28.26
2022-01-12 12:00:00,30.3,47.24,36.12,34.44
2022-01-12 13:00:00,27.93,40.57,40.5,36.79
2022-01-12 14:00:00,40.96,60.06,36.46,47.89
2022-01-12 15:00:00,34.11,59.13,34.05,45.15
2022-01-12 16:00:00,33.76,57.72,34.15,38.96
2022-01-12 17:00:00,18.48,31.17,35.46,43.51
2022-01-12 18:00:00,32.45,58.44,31.1,51.56
2022-01-12 19:00:00,27.54,38.81,36.87,58.82
2022-01-12 20:00:00,16.22,17.19,29.94,50.65
2022-01-12 21:00:00,18.39,25.25,29.71,58.4
2022-01-12 22:00:00,21.54,29.73,22.92,48.39
2022-01-12 23:00:00,19.47,14.74,31.08,51.56
2022-01-13 00:00:00,17.3,23.31,32.0,49.99
2022-01-13 01:00:00,18.7,38.76,17.39,37.02
2022-01-13 02:00:00,18.61,36.18,26.0,42.37
2022-01-13 03:00:00,22.31,39.89,23.66,45.81
2022-01-13 04:00:00,31.88,52.06,26.22,31.31
2022-01-13 05:00:00,9.58,26.92,28.02,29.85
2022-01-13 06:00:00,25.63,32.52,15.83,28.53
2022-01-13 07:00:00,30.18,40.57,32.24,26.05
2022-01-13 08:00:00,32.83,61.52,35.56,25.14
2022-01-13 09:00:00,30.48,48.98,37.68,25.19
2022-01-13 10:00:00,23.44,32.13,28.28,17.61
2022-01-13 11:00:00,36.75,63.21,34.09,32.11
2022-01-13 12:00:00,45.41,69.15,32.5,26.05
2022-01-13 13:00:00,25.57,34.22,26.22,38.38
2022-01-13 14:00:00,39.16,55.73,32.9,44.21
2022-01-13 15:00:00,30.74,51.75,30.38,46.32
2022-01-13 16:00:00,30.68,50.74,36.87,42.2
2022-01-13 17:00:00,22.8,48.62,26.09,52.5
2022-01-13 18:00:00,25.04,37.75,28.1,51.71
2022-01-13 19:00:00,32.78,49.99,28.96,50.95
2022-01-13 20:00:00,26.55,53.99,33.85,67.38
2022-01-13 21:00:00,31.79,58.74,42.34,49.1
2022-01-13 22:00:00,27.19,44.66,28.52,55.96
2022-01-13 23:00:00,21.96,22.64,20.6,59.76
2022-01-14 00:00:00,29.68,41.0,21.41,49.8
2022-01-14 01:00:00,22.12,26.97,27.49,40.19
2022-01-14 02:00:00,25.26,40.7,17.27,36.69
2022-01-14 03:00:00,19.78,27.58,29.69,27.74
2022-01-14 04:00:00,23.62,50.61,26.17,33.06
2022-01-14 05:00:00,20.96,20.97,25.13,30.17
2022-01-14 06:00:00,33.16,43.76,18.58,25.51
2022-01-14 07:00:00,22.22,37.51,33.05,34.05
2022-01-14 08:00:00,35.91,61.63,26.19,24.78
2022-01-14 09:00:00,31.73,30.07,32.32,16.21
2022-01-14 10:00:00,41.17,51.99,32.21,36.11
2022-01-14 11:00:00,39.45,61.01,26.32,22.5
2022-01-14 12:00:00,46.14,84.67,34.04,35.79
2022-01-14 13:00:00,39.33,78.03,29.74,40.19
2022-01-14 14:00:00,24.71,36.23,32.74,39.77
2022-01-14 15:00:00,32.47,50.59,37.96,49.73
2022-01-14 16:00:00,24.19,32.0,38.71,48.21
2022-01-14 17:00:00,26.18,46.95,34.15,48.7
2022-01-14 18:00:00,36.29,70.28,28.58,40.74
2022-01-14 19:00:00,28.97,56.4,28.32,44.35
2022-01-14 20:00:00,19.02,30.21,26.68,71.78
2022-01-14 21:00:00,15.48,18.06,17.76,59.16
2022-01-14 22:00:00,20.49,32.84,27.37,60.79
2022-01-14 23:00:00,12.19,30.55,17.43,65.96
2022-01-15 00:00:00,15.36,21.37,25.18,45.61
2022-01-15 01:00:00,21.53,19.92,16.91,43.33
2022-01-15 02:00:00,27.39,40.94,17.97,30.39
2022-01-15 03:00:00,25.38,38.38,27.55,34.67
2022-01-15 04:00:00,9.64,1.0,24.93,30.9
2022-01-15 05:00:00,27.14,45.28,16.33,27.34
2022-01-15 06:00:00,27.82,48.56,24.21,33.61
2022-01-15 07:00:00,31.94,65.98,29.76,30.1
2022-01-15 08:00:00,41.08,55.07,26.9,30.82
2022-01-15 09:00:00,20.66,38.9,29.84,18.49
2022-01-15 10:00:00,30.77,56.96,34.22,27.47
2022-01-15 11:00:00,38.66,66.01,34.47,31.75
2022-01-15 12:00:00,25.9,33.38,30.23,44.0
2022-01-15 13:00:00,43.97,61.83,35.91,37.11
2022-01-15 14:00:00,36.52,59.22,34.56,39.31
2022-01-15 15:00:00,38.12,61.72,44.42,50.69
2022-01-15 16:00:00,27.96,40.26,34.68,46.24
2022-01-15 17:00:00,34.34,65.27,34.92,53.72
2022-01-15 18:00:00,33.8,50.87,34.3,55.92
2022-01-15 19:00:00,26.71,27.59,29.94,51.66
2022-01-15 20:00:00,24.79,37.87,26.4,51.14
2022-01-15 21:00:00,23.35,41.2,30.75,54.3
2022-01-15 22:00:00,15.28,27.18,29.34,50.39
2022-01-15 23:00:00,18.77,32.71,36.17,41.62
2022-01-16 00:00:00,18.64,41.77,28.52,51.83
2022-01-16 01:00:00,22.12,26.48,28.0,47.3
2022-01-16 02:00:00,26.62,39.21,27.59,35.54
2022-01-16 03:00:00,15.54,37.23,20.75,31.08
2022-01-16 04:00:00,22.8,20.74,18.51,35.43
2022-01-16 05:00:00,34.37,54.56,20.74,39.91
2022-01-16 06:00:00,23.09,46.78,30.44,33.13
2022-01-16 07:00:00,24.69,49.21,35.56,32.71
2022-01-16 08:00:00,32.77,57.71,33.67,23.17
2022-01-16 09:00:00,38.27,66.72,30.72,28.0
2022-01-16 10:00:00,34.55,46.95,41.38,26.22
2022-01-16 11:00:00,43.25,80.19,32.02,25.04
2022-01-16 12:00:00,40.69,55.51,29.46,33.67
2022-01-16 13:00:00,40.33,55.4,37.06,30.91
2022-01-16 14:00:00,37.8,63.59,42.46,35.53
2022-01-16 15:00:00,47.17,71.54,31.58,41.21
2022-01-16 16:00:00,30.32,50.17,26.67,45.47
2022-01-16 17:00:00,17.6,31.61,34.43,50.43
2022-01-16 18:00:00,37.18,73.71,36.86,40.59
2022-01-16 19:00:00,22.74,39.85,16.73,48.89
2022-01-16 20:00:00,24.2,33.77,34.89,64.43
2022-01-16 21:00:00,29.75,53.02,21.61,54.44
2022-01-16 22:00:00,11.01,10.96,30.62,56.36
2022-01-16 23:00:00,12.31,27.01,15.77,53.1
2022-01-17 00:00:00,10.11,16.69,17.43,46.85
2022-01-17 01:00:00,15.23,27.57,27.3,38.58
2022-01-17 02:00:00,23.43,23.24,30.08,36.7
2022-01-17 03:00:00,25.21,22.32,24.16,47.87
2022-01-17 04:00:00,25.38,28.59,36.78,29.3
2022-01-17 05:00:00,17.17,41.44,20.64,39.72
2022-01-17 06:00:00,13.86,12.99,21.82,24.52
2022-01-17 07:00:00,30.11,54.04,26.94,23.6
2022-01-17 08:00:00,28.89,41.08,28.25,25.46
2022-01-17 09:00:00,36.13,55.89,32.97,24.45
2022-01-17 10:00:00,38.86,61.81,29.29,21.38
2022-01-17 11:00:00,36.27,71.19,37.08,29.31
2022-01-17 12:00:00,40.28,69.12,37.91,23.67
2022-01-17 13:00:00,36.82,61.99,43.86,38.3
2022-01-17 14:00:00,37.83,70.9,33.55,41.35
2022-01-17 15:00:00,29.15,41.57,37.48,48.25
2022-01-17 16:00:00,30.64,57.57,38.23,44.52
2022-01-17 17:00:00,30.97,56.76,34.21,55.04
2022-01-17 18:00:00,32.64,59.34,31.94,55.57
2022-01-17 19:00:00,23.28,36.02,21.23,55.25
2022-01-17 20:00:00,26.84,39.45,30.42,66.86
2022-01-17 21:00:00,20.47,25.79,31.42,57.31
2022-01-17 22:00:00,20.08,25.68,26.71,50.21
2022-01-17 23:00:00,24.97,32.61,21.85,59.82
2022-01-18 00:00:00,7.92,15.61,16.41,50.56
2022-01-18 01:00:00,12.38,17.98,26.47,54.56
2022-01-18 02:00:00,12.06,22.75,24.17,28.87
2022-01-18 03:00:00,8.22,17.06,31.15,34.31
2022-01-18 04:00:00,19.81,23.22,17.56,30.71
2022-01-18 05:00:00,30.31,39.78,23.41,18.06
2022-01-18 06:00:00,26.17,40.05,20.39,28.0
2022-01-18 07:00:00,31.14,43.62,33.57,23.28
2022-01-18 08:00:00,38.42,54.43,36.2,13.01
2022-01-18 09:00:00,41.51,79.97,41.17,20.91
2022-01-18 10:00:00,34.4,42.77,35.61,35.33
2022-01-18 11:00:00,43.73,86.16,38.19,34.85
2022-01-18 12:00:00,36.44,60.61,37.38,28.23
2022-01-18 13:00:00,30.59,56.83,38.66,31.67
2022-01-18 14:00:00,31.24,56.94,36.25,45.17
2022-01-18 15:00:00,24.66,44.39,38.89,32.09
2022-01-18 16:00:00,26.55,55.78,45.9,51.06
2022-01-18 17:00:00,27.81,35.83,35.34,39.62
2022-01-18 18:00:00,32.7,51.08,33.12,62.84
2022-01-18 19:00:00,36.14,51.0,32.54,58.44
2022-01-18 20:00:00,15.59,11.38,29.25,43.94
2022-01-18 21:00:00,24.58,34.04,29.68,52.21
2022-01-18 22:00:00,14.71,38.52,26.09,54.89
2022-01-18 23:00:00,23.0,35.42,31.48,38.69
2022-01-19 00:00:00,19.26,46.69,30.02,47.24
2022-01-19 01:00:00,9.33,31.62,35.03,46.77
2022-01-19 02:00:00,26.69,66.66,23.88,27.59
2022-01-19 03:00:00,18.76,45.26,25.65,40.59
2022-01-19 04:00:00,20.84,52.22,26.04,31.75
2022-01-19 05:00:00,19.56,33.89,26.76,34.89
2022-01-19 06:00:00,24.12,40.42,32.65,25.6
2022-01-19 07:00:00,32.69,54.65,20.32,19.17
2022-01-19 08:00:00,30.91,49.46,32.3,18.07
2022-01-19 09:00:00,35.68,58.28,41.53,23.64
2022-01-19 10:00:00,37.15,65.45,39.81,25.88
2022-01-19 11:00:00,43.7,66.19,40.49,35.78
2022-01-19 12:00:00,33.99,43.36,39.41,30.82
2022-01-19 13:00:00,26.91,45.97,32.82,26.76
2022-01-19 14:00:00,41.38,60.66,32.25,37.25
2022-01-19 15:00:00,31.72,46.03,32.09,34.74
2022-01-19 16:00:00,38.73,60.83,29.5,49.6
2022-01-19 17:00:00,32.42,48.89,38.98,54.09
2022-01-19 18:00:00,,,,
2022-01-19 19:00:00,28.07,43.58,33.73,52.67
2022-01-19 20:00:00,35.75,66.49,34.02,50.8
2022-01-19 21:00:00,34.85,57.41,29.91,51.42
2022-01-19 22:00:00,21.54,33.75,29.84,52.44
2022-01-19 23:00:00,21.28,35.32,15.17,47.55
2022-01-20 00:00:00,26.67,32.34,26.38,57.16
2022-01-20 01:00:00,15.41,27.36,22.08,41.69
2022-01-20 02:00:00,23.28,44.04,23.8,39.39
2022-01-20 03:00:00,22.4,43.76,25.33,31.61
2022-01-20 04:00:00,26.09,30.93,21.23,28.13
2022-01-20 05:00:00,21.14,21.67,20.38,21.76
2022-01-20 06:00:00,18.67,25.58,23.27,20.84
2022-01-20 07:00:00,17.84,39.63,21.21,36.74
2022-01-20 08:00:00,25.51,42.58,24.22,28.26
2022-01-20 09:00:00,31.12,43.59,26.46,23.48
2022-01-20 10:00:00,33.38,41.78,25.82,23.07
2022-01-20 11:00:00,47.56,70.63,36.89,36.81
2022-01-20 12:00:00,42.85,62.54,30.69,27.49
2022-01-20 13:00:00,30.17,55.75,26.48,25.9
2022-01-20 14:00:00,37.23,67.66,33.99,42.85
2022-01-20 15:00:00,31.42,41.88,30.23,38.32
2022-01-20 16:00:00,30.5,54.83,42.49,39.8
2022-01-20 17:00:00,31.39,55.43,34.91,44.05
2022-01-20 18:00:00,31.93,41.64,25.65,55.48
2022-01-20 19:00:00,24.1,37.9,34.4,53.86
2022-01-20 20:00:00,30.59,51.68,30.42,49.09
2022-01-20 21:00:00,15.7,26.43,27.25,57.31
2022-01-20 22:00:00,21.32,20.43,34.87,48.03
2022-01-20 23:00:00,36.07,58.76,20.88,40.79
2022-01-21 00:00:00,21.71,39.83,29.98,39.65
2022-01-21 01:00:00,29.24,59.43,22.16,44.01
2022-01-21 02:00:00,21.99,29.84,23.91,35.3
